Unnamed: 0,Gene,scores,log2FC,p_value,q_value
247,Cdk5rap3,4.4844785,0.34558553,7.793973016507064e-06,0.0003126954057901
248,Airn,4.4832463,0.922753,7.929526140141949e-06,0.0003164981686758
249,Gaa,4.475545,0.30343005,8.106700814033707e-06,0.0003223269915213
250,Creg1,4.4653287,0.23161441,8.490899564165626e-06,0.0003341798531888
251,Ninj1,4.461766,0.25171602,8.617173947825146e-06,0.0003382921651097
252,Med12l,4.4595838,0.3450206,8.765612746262478e-06,0.0003428193609693
253,Lsp1,4.4587474,0.2439177,8.718296662802458e-06,0.0003413988225346
254,Klf12,4.456977,0.6200181,8.859119533193627e-06,0.0003451721943089
255,Pear1,4.4545684,0.2554366,8.900598646491131e-06,0.0003458118655513
256,Tbc1d9b,4.4527836,0.27384964,8.99856105344949e-06,0.0003484193471231
257,Smim24,4.447257,0.43256775,9.286763067134111e-06,0.0003578852553565
258,Pclo,4.4465065,1.4287796,9.524958216288526e-06,0.0003665161431107
259,Slc25a11,4.445441,0.24722667,9.2891352145496e-06,0.0003578852553565
260,Dixdc1,4.4389753,1.2179238,9.786754132296018e-06,0.0003747325228978
261,Rmnd5b,4.4373636,0.29730976,9.690684881908944e-06,0.0003715121452319
262,Trib2,4.4227448,1.0232722,1.0442296678476442e-05,0.0003973831357312
263,Vps41,4.419321,0.31876776,1.050869815555932e-05,0.0003988715851002
264,Odf3b,4.4186063,0.43981847,1.0557209853565215e-05,0.000399796387296
265,Rassf5,4.415423,0.24502188,1.0689780589614707e-05,0.0004034733290527
266,Stat5a,4.398291,0.2874874,1.1599459612635857e-05,0.0004339735172905
267,C1rl,4.3891263,0.7372682,1.2179986982223607e-05,0.000454597518941
268,Zyx,4.38545,0.19443451,1.219648160695602e-05,0.0004546666786804
269,Gbp5,4.375213,0.52078366,1.2889059458406965e-05,0.0004753491251329
270,Matk,4.375147,0.24888484,1.2820244725083749e-05,0.0004733734357289
271,Nos1ap,4.3733926,0.39071834,1.2986888508556882e-05,0.000478095816504
272,Gramd1b,4.3583083,0.3105012,1.3910098403967457e-05,0.0005057965875156
273,Ccl27a,4.341025,0.5479643,1.5088627610606506e-05,0.0005448222711536
274,Myct1,4.3363934,0.27275833,1.5291986315968887e-05,0.0005508840499649
275,Gsap,4.335035,0.48917535,1.5481423747284016e-05,0.0005564174208615
276,Coro1b,4.3345537,0.21872482,1.5411370816303023e-05,0.0005545414808327
277,St3gal1,4.3334327,0.2822167,1.5539145165959397e-05,0.0005578463292931
278,Cdcp1,4.3308096,0.6691735,1.5815898187058925e-05,0.0005658192239662
279,Kat6b,4.325776,0.307974,1.6091092029251098e-05,0.0005750019341591
